Name,avg,min,max
Emelie Lindgren,145,86,167
Obie Block,119,90,156
Makenna Smith,126,105,173
Quinn Beier,113,85,154
Elenora Bruen,123,87,157
Daniela Yost,122,85,156
Verda Gutkowski,145,122,179
Seamus Herman,118,84,152
Kirk Volkman,119,85,161
Javonte Medhurst,133,107,162
Carey Denesik,128,85,163
Kailey McClure,123,92,155
Janelle Ryan,128,99,156
Nellie Wyman,124,97,147
Elinore Wisoky,135,97,164
Flavio Sipes,127,87,163
Stephania Ernser,138,99,173
Dedrick Walker,129,89,169
Presley Conn,139,101,177
Zakary McClure,126,99,169
Allene Rosenbaum,131,92,168
Felicita Sporer,113,82,151
Keenan Lang,114,89,160
Aletha Roberts,127,92,159
Layla Gulgowski,149,120,170
Luigi Orn,135,99,170
Damien Schiller,119,92,157
Blanche Schimmel,127,87,160
Glenda Reinger,118,96,147
Angie Rau,122,84,160
Carmela Spencer,130,99,171
Ezra Lebsack,132,102,163
Summer Weissnat,123,90,167
Samantha Bergstrom,118,91,162
Rowland Jacobi,131,99,168
Erin Nader,142,103,173
Tyrique Yost,130,96,161
Urban Goyette,140,102,169
Peyton Feeney,127,107,158
Eliza Carter,124,93,162
Johnny Douglas,119,95,164
Kristin Funk,125,92,169
Julian Corkery,122,91,164
Norwood Shields,118,83,153
Hattie Carroll,127,97,163
Arnaldo Schroeder,117,90,157
Tommie Harber,129,90,168
Roger Reynolds,118,84,147
Earnestine Hane,141,102,168
Tyrese Watsica,121,89,165
Elliott Ullrich,131,93,172
Edgar Tremblay,136,93,168
Burnice Rau,135,91,172
Elta Barton,137,120,154
Jaeden Stark,145,99,171
Hassie Reichel,138,95,168
Florencio Gislason,146,117,156
Hellen Howell,129,89,158
Marcelina Wilkinson,134,107,173
Ryann Yost,129,102,159
Isabel Jones,131,103,155
Darian Keebler,126,91,178
Marquis Weimann,115,89,160
Aglae Bechtelar,125,85,155
Lina Turcotte,136,109,166
Clara Goyette,123,92,152
Bert Feeney,124,91,166
Ambrose Wyman,124,97,155
Jayne Legros,134,94,165
Sigmund Blanda,130,91,159
Lyda Carroll,141,119,166
Marcos Kuhic,140,105,174
Grace Schmeler,133,91,170
Abdullah Kihn,135,100,167
Abner Tremblay,120,97,159
Sister Funk,137,104,167
Dalton Hackett,126,82,160
Samanta Auer,131,98,167
Aniyah Hodkiewicz,127,95,162
William McGlynn,125,98,175
Clare Langworth,122,100,154
Gregory Larkin,135,101,163
Leilani Reinger,135,85,161
Talon Ernser,144,112,177
Marielle McClure,141,106,171
Loy Boyle,130,99,155
Kylee Runte,128,107,176
Franco Fay,122,105,157
Tia Mayer,116,85,160
Octavia Reynolds,150,120,163
Hardy Welch,145,104,175
Joe Lang,137,110,162
Noble Okuneva,130,102,165
Carolanne Jerde,140,98,178
Corene Kling,126,98,155
Barbara Denesik,114,95,149
Sigurd Gulgowski,132,95,161
Robb Sipes,143,118,177
Moshe Jewess,140,96,174
Salvador Frami,139,92,175
Effie Brown,135,102,169
Isobel Ferry,125,94,151
Zita Cruickshank,130,80,162
Isidro Barton,139,107,161
Amelia Medhurst,124,88,162
Ashleigh Renner,121,93,146
Gonzalo Cole,140,103,167
Brenna Hickle,132,100,176
Charley Torphy,135,90,167
Vella Corwin,121,89,171
Adolphus Hilll,123,92,177
Albert Schaden,133,111,159
Paul Wiegand,139,113,160
Wanda Schumm,142,99,177
Twila Dickinson,121,87,154
Catherine Hegmann,134,93,168
Rashawn Hermiston,120,89,168
Brandon Schumm,133,107,165
Jed Weber,130,93,172
Eldora Rowe,126,100,169
Frida Goodwin,136,94,172
Isaias Crona,126,103,160
Kurt Lynch,116,95,154
Euna Harvey,119,84,150
Carmela Parker,146,91,178
Ryan Fahey,139,104,159
Khalil Goyette,129,102,151
Jamey Wilkinson,126,80,164
Felicity Casper,116,93,167
Laury Turcotte,130,92,177
Keeley Gleichner,134,103,168
Shayne Dooley,129,102,162
Angelo Miller,127,90,161
Carmella Ratke,127,93,152
Tristin Emard,127,101,158
Jonathan Bechtelar,149,126,169
Audrey Robel,127,103,158
Justina Strosin,121,102,156
Johnny Quitzon,135,96,154
Genoveva Runte,124,99,144
Enoch Hirthe,132,89,167
Leda Rosenbaum,150,101,174
Francisco Dietrich,127,101,163
Robb Schmidt,135,98,172
Tommie Ledner,131,106,165
Jon Schimmel,132,106,153
Wilmer Macejkovic,133,91,160
Joana McKenzie,121,100,152
Lucious Larson,141,110,163
Susana Reilly,136,98,167
Abner Dickinson,135,113,163
Lucius Gusikowski,127,83,170
Hal Hand,117,93,148
Opal Larson,134,94,173
Pauline Effertz,136,85,172
Paolo Ritchie,140,99,174
Marcos Kessler,136,91,171
Percy Trantow,127,96,160
Noe Prohaska,132,89,174
Melody Ziemann,134,103,169
Jairo Hansen,124,91,173
Osbaldo Dach,94,82,113
Lavinia Kihn,132,100,163
Henderson Ondricka,129,91,168
Trystan Davis,131,110,157
Rhett Tromp,116,89,156
Reilly Morar,126,103,168
Beau Heller,119,85,163
Mariane Emmerich,117,86,167
Hulda Crona,124,88,164
Jett Purdy,138,104,167
Brandyn Moen,148,107,178
Darryl Runolfsson,123,90,166
Ofelia Buckridge,131,111,156
Ethelyn Daugherty,128,96,157
Colt Hackett,128,108,148
Raoul Reynolds,127,93,158
Emilio Green,108,84,139
Charlie Gusikowski,117,100,147
Larissa Ferry,125,94,156
Freddie Lakin,147,112,176
Christiana Ryan,122,93,153
Magnus Douglas,134,106,173
Billy Blick,126,98,157
Augustus Von,133,91,159
Mckenna Rippin,121,85,153
Victor Kshlerin,121,93,150
Bernadine Bernhard,122,84,164
Aurelia Ortiz,143,115,164
Casandra Williamson,117,90,149
Virgie Jast,117,92,153
Mathew Kertzmann,134,93,167
Johnpaul Reilly,145,118,177
Davin Vandervort,135,92,171
Keyshawn Donnelly,129,86,163
Rene Konopelski,129,99,167
Daniela Fritsch,123,98,162
Jakayla Price,124,95,156
Gwendolyn Kilback,128,84,176
Shania Gutkowski,144,101,175
Jeffery Balistreri,123,88,160
Columbus Wiegand,122,92,154
Kylie Yost,143,110,177
Bernadette Larkin,127,92,154
Horace Heller,131,100,164
Delpha Hamill,141,92,176
Ethelyn Abshire,133,107,174
Lowell Christiansen,138,85,172
Kiarra Bartell,127,97,153
Branson Orn,141,106,169
Zola Kling,136,87,172
Mike Beer,123,89,167
Anna Brekke,142,93,161
Reyna Johns,120,97,156
Hailee Erdman,128,90,161
Audie Kohler,139,105,172
Forrest Durgan,119,84,164
Keven Mosciski,129,84,171
Leta Reichel,133,85,171
Jarred Satterfield,138,106,158
Alvah Jones,124,99,143
Yesenia Kub,139,92,170
Presley Towne,128,101,160
Luis Kub,117,85,157
Eliane Dooley,126,95,154
Retha Krajcik,131,98,163
Onie Hayes,124,94,155
Liza Kuphal,134,106,177
Addison Wolff,121,91,153
Chelsea Doyle,133,93,163
Raymond Ryan,129,107,167
Princess Auer,133,97,156
Columbus Stanton,133,93,175
Cole Rogahn,134,85,158
Bradley Eichmann,116,81,161
Jaden Homenick,112,90,156
Alphonso Botsford,122,99,152
Lavern Medhurst,133,99,177
Cecile Schuppe,137,107,171
Westley Dietrich,136,96,167
Alexzander Moore,126,89,165
Jean Purdy,133,103,162
Evert Veum,124,87,179
Otis Davis,134,95,170
Jedidiah Miller,127,98,159
Thomas Hilpert,134,105,164
Kareem Erdman,129,92,167
Krystel Moen,134,93,173
Claire Gutmann,136,91,175
Laverne Larson,139,101,163
Lelia Bednar,129,90,165
Sofia Herzog,119,86,161
Abraham Bashirian,133,104,160
Edison Baumbach,137,99,166
Santos Doyle,123,95,166
Rollin Bernhard,138,101,160
Elvis Macejkovic,143,119,160
Henriette Little,132,99,168
Josianne Kuhlman,132,95,153
Wyman Mayer,128,93,157
Augusta Schroeder,135,92,175
Emiliano Satterfield,124,84,170
Christopher Feeney,127,101,154
Marcelo Gleichner,132,102,171
Issac Dare,136,88,159
Sim Gutkowski,123,99,158
Meaghan Greenfelder,135,98,163
Lula Ullrich,136,103,165
Scotty Trantow,137,101,165
Mckayla Beatty,121,84,163
Cicero Gutmann,120,86,167
Bette Roob,127,89,173
Braxton Toy,130,83,177
Chanelle Langworth,125,101,157
Kody Robel,130,114,162
Rogers Hilll,144,97,171
Brendon Kerluke,120,92,158
Michael Ledner,113,96,127
Keaton Halvorson,138,113,175
Mathew Eichmann,130,105,168
Raina Roberts,129,100,163
Emely Hegmann,140,99,170
Aditya Graham,143,107,179
Chadd Crist,127,83,157
Steve Becker,126,98,164
Joan Torp,141,105,163
Timothy Johnson,145,102,166
Lesly Boyer,121,82,162
Haven Dare,139,103,161
Rodrick Bernhard,127,93,178
Ahmed Haag,119,90,157
Marcus Moen,131,94,173
Josiah Stehr,131,107,151
Robin Jakubowski,124,98,162
Shayna Witting,134,101,168
Lexi Gleason,128,81,155
Josie Muller,140,123,165
Gay Christiansen,120,102,177
Philip Hand,120,95,165
Arden Dickinson,134,102,160
Elenora Boehm,119,82,152
Jarrod Wisoky,134,99,158
Nick Bednar,122,97,160
Karl Howell,124,87,162
Anabelle Harris,141,101,169
Eugenia Bergstrom,127,89,155
Gerhard Schmitt,143,107,172
Jaeden Kuhic,124,91,175
Clifford Wolff,115,85,162
Grady Hettinger,140,117,157
Kaleigh Luettgen,125,89,159
Christy Ebert,126,95,177
Ashton Reinger,129,92,166
Broderick Green,126,98,159
Cora Conn,133,102,161
Eleanore Schaefer,127,91,173
Eryn Labadie,153,116,176
Chris Jenkins,139,93,175
Lauryn Romaguera,130,116,142
Justus Pacocha,111,89,155
Amalia Kovacek,124,97,166
Stefanie Pacocha,131,89,158
Coty Bernhard,128,92,156
Bradly Lemke,114,90,146
Jayce Boyer,117,87,163
Summer Runolfsdottir,153,133,174
Antwon Towne,110,80,154
Nathen Abernathy,132,101,161
Ruthe Kling,138,107,160
Monserrate Marquardt,121,83,167
Maurice Williamson,128,94,162
Jazlyn Okuneva,105,88,133
Tevin Swaniawski,138,107,162
Rafael Koelpin,131,92,178
Stefanie Hauck,130,88,172
Cristobal Witting,127,97,159
Marley Marvin,132,98,156
Hailey Harber,137,101,174
General Mraz,126,94,158
Ewell Dickens,121,102,149
Myrl Wilderman,116,96,163
Lexie Stanton,132,106,172
Deborah Nitzsche,121,101,150
Mattie Gerlach,131,92,172
Reece Boyle,133,86,167
Tracy Will,142,93,172
Barrett Kihn,126,91,158
Ana Dickens,127,95,159
Loy Abbott,124,88,159
Elmore Shanahan,126,97,162
Kellie Anderson,131,98,168
Catharine Blanda,129,93,173
Brittany Rolfson,129,90,163
Issac Pagac,115,84,160
Meggie Thiel,135,101,170
Maryam McCullough,134,105,167
Rahsaan Quigley,132,97,161
Jermey Murray,127,90,166
Austyn Pollich,123,89,161
Kamille Blanda,128,96,153
Kristoffer Dicki,134,92,158
Noemi Mann,126,94,160
Alanis Leannon,127,100,162
Janelle Hartmann,134,97,160
Clark Moore,136,100,176
Malinda Pouros,134,91,162
Sylvia Watsica,124,90,170
Derick Funk,117,87,140
Lewis Smith,133,98,168
Jillian Trantow,138,100,161
Jason Kassulke,125,90,151
Trever Huels,135,88,160
Sigmund Glover,124,100,154
Juliet Mayer,131,115,161
Merl Jaskolski,133,103,151
Verona Berge,121,95,159
Jamarcus Treutel,127,98,155
Annette Labadie,138,96,169
Rocky Lubowitz,128,90,173
Pearline Collins,126,100,171
Leopold Carter,141,104,167
Macey OReilly,122,98,166
Glen Wisozk,124,90,164
Andre Mertz,139,107,174
Alexanne Balistreri,130,96,166
Liliana West,153,98,177
Kiana Wiza,122,94,173
Carroll Cremin,127,85,160
Ashlynn Mills,124,111,142
Colten Cronin,130,87,169
Michale Toy,125,96,156
Kathryne Huels,123,99,141
Kris Jast,132,98,159
Vernice Gutkowski,133,103,172
Ned Windler,126,89,158
Shea Nolan,122,98,163
Ottilie Wilderman,130,86,154
Maxie Luettgen,143,115,174
Braeden McGlynn,119,100,144
Sallie Armstrong,126,96,166
Bertrand Maggio,119,97,160
Victoria Schmitt,128,90,153
Kaylie McGlynn,132,92,166
Sherwood Flatley,134,99,167
Kellie Prohaska,138,90,176
Ayana Bashirian,139,100,161
Leif Hagenes,130,100,166
Brianne Franecki,123,96,153
Shanel Blanda,124,93,151
Alyce Koepp,132,105,158
Arthur Kozey,130,101,174
Ricardo Nitzsche,129,99,175
Sage Kulas,140,98,174
Antonina Kassulke,137,101,169
Emile Bernier,146,116,162
Malachi Schiller,122,89,157
Daphne Okuneva,135,94,168
Una Goyette,134,103,174
Leonardo Koch,139,92,172
Glenda Flatley,132,90,159
Viola Heidenreich,132,96,164
Amir Hamill,132,99,154
Alivia Ledner,136,111,168
Fannie Streich,130,100,155
Issac Weissnat,151,106,168
Antonetta Jacobs,138,119,166
Zane Wilkinson,131,103,168
Virgil Pollich,125,86,157
Vernie Gleason,133,95,155
Verona Willms,130,106,157
Angeline Boehm,130,107,165
Chad Pacocha,134,96,163
Adonis Farrell,143,106,170
Adrian Jenkins,130,94,167
Samanta Lowe,129,93,163
Viola Boyer,127,86,158
Taylor Kihn,126,91,174
Jabari Lebsack,149,115,178
Ahmad Kling,121,104,151
Margot Parker,108,98,127
Marcelo Hoeger,136,91,159
Jeffrey Terry,131,93,163
Cruz McGlynn,130,89,174
Dorthy Mosciski,133,95,169
Georgette Heaney,121,94,157
Noah Beier,120,109,157
Triston Cormier,130,89,172
Frederic Hudson,132,102,160
Kip Flatley,140,120,170
Makenna Carroll,129,91,162
Julien Langosh,139,121,156
Trey Cole,131,99,164
Reilly Ernser,142,108,170
Lloyd Eichmann,126,87,163
Blaise Lubowitz,139,91,172
Adolphus Krajcik,127,97,166
Myah Schamberger,139,94,158
Brandon Kertzmann,110,91,157
Polly Bayer,128,106,153
Evert Bayer,128,102,156
Neha Reichel,127,96,179
Elza Green,131,104,158
Sophie Simonis,138,102,174
Simone Will,137,108,167
Trycia Jerde,128,90,163
Norberto Pacocha,145,111,169
Jessica Ferry,134,91,171
Johnathan Goldner,136,86,175
Maiya Aufderhar,134,102,161
Drew Rempel,127,101,161
Malcolm Quitzon,125,94,153
Penelope Stehr,127,98,159
Aleen Corkery,117,90,156
Alda Koss,126,91,162
Quincy Morar,139,89,177
Reed Koelpin,131,113,159
Ellie Gerlach,135,86,173
Daniella Heller,144,114,159
Bria Toy,141,115,165
Stanton Maggio,117,99,134
Kelsi Treutel,122,104,163
Freddie Ernser,135,98,167
Murphy Waelchi,123,95,158
Emilia Tromp,131,97,171
Luisa Hartmann,122,104,137
Rahul Kassulke,135,115,160
Elisabeth Maggio,149,102,174
Celestine Marquardt,121,96,162
Verona Armstrong,123,86,153
Milford Hammes,129,105,142
Christina Hackett,119,99,162
Irving Willms,123,101,151
Clay Hansen,126,88,163
Jonas Romaguera,124,97,155
Laura Bradtke,151,105,178
Reba Kessler,131,108,162
Marcella Upton,134,109,164
Lessie Lueilwitz,151,138,173
Neoma Medhurst,128,97,177
Kaycee Dooley,133,97,163
Jaron Cummerata,137,90,176
Bailee Kuhlman,114,96,147
Maida Weimann,122,93,142
Laurence Waters,135,98,174
Shanelle Rosenbaum,132,104,159
Shany Kozey,114,89,158
Marie Thompson,127,84,170
Reynold Gleason,147,105,165
Alan Gleason,135,86,175
Jasmin Feeney,118,85,161
Antonio Rice,128,88,180
Arnulfo Lockman,127,106,158
Dayana Batz,121,100,165
Laurence Schneider,132,84,173
Erik Torphy,138,87,172
Deshaun Leffler,134,88,164
Toney McDermott,133,108,152
Jamie Eichmann,120,89,150
Rhoda Walsh,131,90,175
Leonel Bogan,128,84,165
Tania Skiles,127,99,163
Reece Pollich,129,89,171
Roderick Willms,129,102,145
Danny Mann,128,107,160
Bonita Rodriguez,122,96,160
Bret Schneider,142,96,177
Clementine Kiehn,124,99,165
Kari Connelly,113,83,164
Maynard Reynolds,109,87,160
Jayson Fay,121,98,151
Ansel Roberts,123,90,151
Virgil Koch,124,89,159
Elias Wolf,129,102,170
Cornell Watsica,124,87,153
Alberta Jerde,129,112,153
Deontae Sanford,127,88,163
Jessy Feeney,124,102,152
Devante Rolfson,125,87,166
Lou Kuvalis,134,93,175
Jerod Renner,131,99,169
Willard West,135,85,158
Lizzie Beahan,130,111,151
Donald Hodkiewicz,130,96,166
Victoria Rath,121,92,156
Cleveland Parisian,135,93,168
Kariane Hilpert,137,110,163
Gwen McCullough,132,99,165
Nasir Jones,136,89,170
Aleen Treutel,125,100,157
Andy Gulgowski,120,87,158
Nicole Shields,131,84,177
Barbara Ankunding,131,100,166
Ettie Schoen,139,110,168
Lamont Upton,134,95,155
Ardella Donnelly,130,95,159
Johnathon Barton,137,98,167
Ezekiel Jenkins,135,88,171
Edwardo Ortiz,133,104,162
Dewayne Quitzon,123,103,150
Annabelle Jewess,131,90,176
Dan Adams,151,104,171
Anika Fay,127,101,158
Catalina Rohan,136,96,174
Dawson Rosenbaum,136,96,169
Tamia Reynolds,128,95,161
Lily Paucek,126,99,157
Gustave Carroll,136,100,167
Monroe Breitenberg,139,94,172
Dedrick Yost,128,101,162
Damien Gaylord,130,100,155
Uriah Goyette,113,83,161
Effie DuBuque,142,114,157
Tabitha Blick,127,86,169
Marcelo Hettinger,118,89,158
Edwina Kuphal,146,123,170
Kamren Little,131,99,158
Else Dooley,140,103,164
Tressa Thompson,139,102,170
Sid Kozey,142,110,160
Lora Becker,143,114,167
Precious Paucek,110,89,161
Fredy Jaskolski,139,106,169
Anabelle Runolfsdottir,125,104,160
Summer Osinski,124,102,159
Luis Bartell,129,95,165
Kaitlyn Kertzmann,125,88,165
Hardy Hand,131,103,164
Rylan Ledner,136,106,170
Samara Krajcik,142,101,178
Laurence Smitham,128,90,162
Morton Cole,119,95,155
Geovanni Hamill,126,89,156
Sadie Buckridge,137,100,174
Roy Haley,127,95,165
Corine Ullrich,155,108,171
Aiden Harris,139,111,165
Bernhard Zboncak,132,97,161
Ibrahim Veum,136,112,162
Stevie Johns,117,92,167
Connor Sipes,134,108,161
Clementine Murphy,128,89,164
Adrienne McDermott,129,85,160
Enos Murphy,130,97,152
Randy Lockman,128,98,167
Odell Heaney,133,100,163
Piper Halvorson,121,99,144
Norma Lebsack,130,93,172
Weston Stehr,127,105,153
Benjamin Collins,108,83,153
Kianna Gaylord,121,89,165
Brendan Brakus,116,90,162
Ivy Mueller,148,110,180
Jalen Terry,134,101,166
Aurelie Sauer,137,97,172
Randal Purdy,112,89,139
Santos Ondricka,126,96,164
Boris Christiansen,126,90,166
Jake Boehm,134,99,174
Lindsey Kuhn,146,112,176
Haylee Steuber,152,103,179
Estell Waelchi,123,90,163
Adeline Hansen,130,93,152
Donato Cassin,142,112,169
Zoie Zemlak,147,92,174
Lauryn Blanda,141,96,177
Rosamond Pouros,133,103,160
Raymond Mayert,131,106,155
Jeffrey Batz,118,85,150
Marshall Turcotte,149,116,177
Lucie Shields,130,98,167
Margarete Nitzsche,123,99,155
Zechariah Schumm,137,93,177
Felix Pagac,133,101,162
Vince Monahan,133,105,155
Earline Lang,126,93,171
Ozella Haley,137,97,162
Elliot Nienow,135,97,170
Tamara Osinski,125,85,157
Wilfredo Schamberger,134,117,160
Chance Treutel,114,92,147
Frida Kemmer,127,105,165
Colten Kris,134,100,173
Taurean Schaden,128,98,162
Leif Considine,129,94,167
Kane Nolan,133,102,153
Eugene Wolf,130,109,161
Casper Kshlerin,122,86,160
Grayce Huels,127,86,178
Theodore Schumm,132,101,164
Alycia Bednar,136,104,180
Paula Hoeger,130,95,160
Hassie Conn,133,95,159
Columbus Stokes,118,86,168
Charity Koch,126,97,152
Brent Sawayn,132,98,160
Daisha Toy,116,91,153
Jerod Bechtelar,148,106,162
Mellie Hagenes,124,97,158
Ewell Ryan,126,91,165
Florian Yundt,125,99,160
Emory Johns,130,98,158
Daren Huel,137,105,171
Lula Rogahn,118,92,169
Zola Hettinger,123,87,159
Nikki Durgan,131,85,171
Armand Zulauf,146,106,173
Clemens Kihn,129,97,158
Mittie Predovic,141,86,177
Bettye Thompson,150,121,171
Eleazar Mayer,125,94,159
Deron Murray,132,88,169
Jean Boehm,127,91,167
Misael Koch,129,92,160
Irwin Larson,126,88,155
Henderson McLaughlin,125,95,146
Pablo Rolfson,130,110,158
Louie Heller,142,106,167
Chanel Hoppe,134,81,177
Hallie Koelpin,125,100,153
Agnes Kohler,133,99,162
Misael Ullrich,121,95,153
Rashawn Kirlin,143,94,170
Lorenz Ernser,106,82,135
Harrison Bailey,130,87,167
Reed Kassulke,111,95,142
Adela Ullrich,138,96,163
Cristal Skiles,133,101,161
Sid Schoen,130,101,162
Turner Zemlak,128,83,150
Shad Larkin,134,106,160
Emmet Jones,127,88,154
Parker Jakubowski,120,101,153
Rozella Stroman,137,97,170
Kelly Cole,111,86,146
Jamaal Tromp,127,105,157
Maximillia Kunze,125,99,169
Annabelle Pacocha,122,92,162
Ona Jones,118,100,155
Carol Corkery,130,99,166
Kamryn Gibson,128,99,159
Lorna Sauer,133,98,164
Kamron Rohan,124,100,158
Tara Bauch,125,102,155
Ara Wuckert,136,91,162
Melvina Wiegand,122,95,152
Abel Jaskolski,126,107,157
Rosanna Muller,136,87,167
Fannie Schneider,130,104,165
Khalil Strosin,109,89,164
Shaylee Haag,132,107,159
Antonio Tillman,140,103,168
Mary Turner,135,90,172
Buck Little,111,95,138
Ulices Dare,133,91,172
Henri Trantow,132,107,160
Reilly Corkery,125,101,164
Jaqueline McLaughlin,140,91,171
Kristin Weissnat,126,87,159
Nathen Huel,133,99,169
Isom Bashirian,121,86,148
Itzel Smitham,140,108,178
Blair Ebert,134,87,174
Vanessa Vandervort,132,84,161
Alene Kertzmann,134,88,169
Kelly Hermann,141,89,176
Clarissa Flatley,123,90,160
Chyna Konopelski,138,91,175
Marjory Gulgowski,129,98,162
Dayna Durgan,133,105,165
Chyna Trantow,123,97,142
Kale Parisian,126,102,160
Yvonne Harber,111,83,151
Nelle Lebsack,132,86,178
Audrey Hettinger,133,89,166
Bernadette Sipes,141,95,171
Franco Kub,120,94,154
Ethan Spencer,128,86,162
Alvah King,142,86,176
Deon Farrell,136,106,168
Mervin Bosco,117,89,151
Aisha Raynor,142,106,168
Collin Bauch,128,103,157
Eugenia Kohler,122,101,161
Jacques Lowe,129,106,155
Modesto Nolan,135,96,164
Ludwig Howell,130,86,180
Mya Watsica,125,96,163
Danny Stehr,126,89,165
Deborah Konopelski,124,92,157
Brooks Stehr,120,100,147
Toni Reynolds,112,88,155
Keaton Grimes,137,103,167
Nathanial Schowalter,135,109,158
Scottie Harris,137,113,163
Kayley Ferry,122,86,158
Clotilde Powlowski,119,95,151
Myrna Schowalter,128,88,161
Retta Denesik,131,91,163
Luigi Mann,120,95,160
Spencer White,125,86,173
Asia Witting,122,103,155
Rebecca Hartmann,136,109,168
Reina Connelly,124,97,161
Jordan Prohaska,116,95,157
Brionna Hirthe,133,105,161
Aidan Boehm,122,92,169
Kacey Balistreri,128,91,180
Dayna Collier,127,95,169
Josiah Predovic,126,93,165
Leatha Ziemann,130,94,159
Dorcas Becker,128,90,168
Noemi Klocko,135,107,173
Delores Langosh,109,82,160
Giuseppe Marks,112,80,157
Jeanette Hilpert,119,95,170
Eda Hoppe,129,97,161
Bailey Bosco,138,106,169
Bessie Cole,118,92,167
Pansy Schmidt,123,87,155
Ara Beahan,133,82,158
Yazmin Ziemann,117,85,156
Gabrielle Gleason,135,91,163
Amelia Labadie,127,93,144
Joanny Rice,121,93,156
Enrico Labadie,108,80,137
Graham Stark,131,99,160
Jeramie Raynor,127,81,156
Allene Nicolas,132,103,156
Harry Eichmann,115,94,137
Ashleigh Bruen,120,92,161
Cleo Wiza,129,94,167
Lois Greenfelder,131,96,159
Mireya Feeney,139,95,170
Francis Schaefer,136,93,159
Reginald Crist,129,98,172
Thurman Weber,126,105,169
Green Wisozk,129,100,165
Taurean Zieme,122,98,152
Lourdes Bruen,123,106,143
Stephan Beahan,124,88,156
Chet Maggio,137,96,177
Benedict Champlin,127,100,162
Soledad Beahan,113,88,141
